EmployeeID,EmployeeName,Age,Gender,Location,Department,Role,YearsAtCompany,DateOfJoining,YearsInCurrentRole,EducationLevel,MonthlySalaryINR,WorkHoursPerWeek,ProjectsHandled,TrainingHoursLastYear,SickLeavesLastYear,OvertimeHoursLastMonth,ManagerRating,DisciplinaryNotices,PolicyViolationsLastYear,PerformanceRating,PromotionLast2Years,ComplianceRiskLevel,AttritionRisk
2001,Vivek Singh,52,Female,Gurgaon,IT Support,Senior Engineer,8,11/22/2017,1,Diploma,118467,59,8,103,12,14,3,0,0,2,Yes,Low,Medium
2002,Ashish Das,48,Male,Hyderabad,Operations,Manager,14,1/1/2012,3,Master,165925,56,1,34,8,9,4,2,0,2,No,Medium,High
2003,Suresh Gupta,34,Male,Delhi,Legal,Engineer,5,8/30/2020,4,Master,51423,50,10,35,0,7,4,0,0,1,Yes,Low,High
2004,Pallavi Patel,29,Male,Bangalore,Operations,Executive,2,12/16/2023,1,Bachelor,25085,57,3,83,2,18,3,0,0,2,No,Low,Medium
2005,Nikhil Ghosh,50,Female,Bangalore,HR,Manager,13,9/9/2012,4,Bachelor,203523,56,5,43,8,26,4,0,1,2,No,Low,Low
2006,Suresh Saxena,35,Male,Pune,IT Support,Analyst,3,8/28/2022,1,Diploma,59167,45,5,52,9,29,3,1,0,2,No,Medium,Low
2007,Seema Mehta,37,Female,Noida,Operations,Manager,9,8/27/2016,5,Diploma,210890,57,6,79,1,12,4,1,1,1,No,Medium,Medium
2008,Rohit Gupta,45,Female,Gurgaon,Sales,Engineer,4,10/30/2021,4,Bachelor,52801,52,5,71,5,38,3,0,0,2,No,Low,Low
2009,Mohit Iyer,33,Female,Gurgaon,Compliance,Executive,2,8/20/2023,1,Bachelor,35402,40,3,95,0,38,4,0,0,4,Yes,Low,Low
2010,Rakesh Agarwal,45,Female,Ahmedabad,Legal,Manager,10,11/3/2015,0,Bachelor,145946,50,5,27,12,8,4,0,0,2,Yes,Low,Low
2011,Vikas Chatterjee,39,Female,Hyderabad,Compliance,Engineer,1,12/14/2024,0,Bachelor,84551,51,6,21,0,11,4,0,1,2,No,Low,Low
2012,Mohit Verma,44,Female,Delhi,Finance,Engineer,5,9/12/2020,5,Bachelor,56837,54,1,113,10,26,3,0,0,1,No,Low,Medium
2013,Isha Patel,52,Male,Bangalore,IT Support,Manager,9,12/14/2016,2,Master,182930,58,6,103,7,5,5,0,0,4,Yes,Low,Low
2014,Anjali Das,39,Male,Noida,Sales,Team Lead,12,11/15/2013,2,Bachelor,142225,54,10,35,4,32,3,0,0,1,No,Low,Medium
2015,Riya Verma,54,Male,Mumbai,Legal,Manager,13,9/9/2012,5,Master,165010,43,2,33,8,15,3,0,1,2,No,Low,Medium
2016,Isha Ghosh,40,Male,Delhi,Legal,Senior Engineer,9,8/6/2016,0,Bachelor,91099,59,3,84,2,8,5,0,1,3,Yes,Low,Low
2017,Ashish Verma,36,Male,Chennai,Sales,Senior Engineer,5,10/10/2020,1,Bachelor,80292,48,3,36,6,5,3,0,0,2,No,Low,Low
2018,Anjali Verma,36,Male,Mumbai,Legal,Manager,10,12/21/2015,2,Diploma,167843,44,9,7,10,2,4,0,0,2,Yes,Low,Medium
2019,Swati Mishra,42,Female,Delhi,Finance,Team Lead,10,10/2/2015,1,Bachelor,156192,42,4,119,6,28,4,1,0,3,Yes,Low,Low
2020,Sanjay Malhotra,36,Male,Noida,HR,Senior Engineer,6,10/26/2019,2,PhD,120614,57,1,71,6,4,1,0,0,2,Yes,Low,Low
2021,Gaurav Singh,37,Female,Ahmedabad,Marketing,Manager,8,8/28/2017,4,Bachelor,177419,45,2,85,9,25,4,1,0,3,No,Medium,Low
2022,Pallavi Patel,40,Male,Mumbai,IT Support,Executive,0,11/3/2025,0,Diploma,34281,46,2,2,14,2,2,0,0,1,Yes,Low,Medium
2023,Isha Malhotra,25,Female,Ahmedabad,Compliance,Engineer,2,8/9/2023,1,Master,75656,41,9,103,10,36,4,0,1,2,No,Low,Low
